"CodeObj","Vaddr","Instruction","Hitcount","Latency","Stall","Idle","Source"
3,3319552,"; _ZN2at6native32elementwise_kernel_manual_unrollILi128ELi8EZNS0_22gpu_kernel_impl_nocastIZZZNS0_23direct_copy_kernel_cudaERNS_18TensorIteratorBaseEENKUlvE1_clEvENKUlvE10_clEvEUlN3c108BFloat16EE_EEvS4_RKT_EUlibE_EEviT1_",0,0,0,0,"void at::native::elementwise_kernel_manual_unroll<128, 8, at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#12}::operator()() const::{lambda(c10::BFloat16)#1}>(at::TensorIteratorBase&, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#12}::operator()() const::{lambda(c10::BFloat16)#1} const&)::{lambda(int, bool)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#12}::operator()() const::{lambda(c10::BFloat16)#1}>(at::TensorIteratorBase&, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#12}::operator()() const::{lambda(c10::BFloat16)#1} const&)::{lambda(int, bool)#1})"
3,3319552,"s_load_dword s57, s[0:1], 0x0",96,488,104,5976,""
3,3319560,"s_load_dword s33, s[0:1], 0x8",96,384,0,0,""
3,3319568,"s_or_b32 s0, s0, 8",96,436,52,0,""
3,3319572,"v_lshl_or_b32 v24, s2, 10, v0",96,1556,1172,0,""
3,3319580,"v_or_b32_e32 v31, 0x380, v24",96,384,0,12,""
3,3319588,"s_waitcnt lgkmcnt(0)",96,6152,6152,0,""
3,3319592,"v_cmp_le_i32_e32 vcc, s57, v31",96,772,388,0,""
3,3319596,"s_add_i32 s56, s33, -1",96,504,120,1536,""
3,3319600,"s_cmp_gt_u32 s56, 1",96,432,48,0,""
3,3319604,"s_cselect_b64 s[34:35], -1, 0",96,456,72,0,""
3,3319608,"s_and_saveexec_b64 s[2:3], vcc",96,416,32,0,""
3,3319612,"s_xor_b64 s[2:3], exec, s[2:3]",96,576,192,0,""
3,3319616,"s_cbranch_execz 104",96,388,4,0,""
3,3319620,"s_load_dwordx4 s[28:31], s[0:1], 0x4",0,0,0,0,""
3,3319628,"s_load_dwordx2 s[40:41], s[0:1], 0x14",0,0,0,0,""
