"CodeObj","Vaddr","Instruction","Hitcount","Latency","Stall","Idle","Source"
5,495616,"; _ZN2at6native13reduce_kernelILi512ELi1ENS0_8ReduceOpIN3c108BFloat16ENS0_14func_wrapper_tIS4_NS0_13MaxNanFunctorIS4_EEEEjS4_Li4ELi4EEEEEvT1_",0,0,0,0,"void at::native::reduce_kernel<512, 1, at::native::ReduceOp<c10::BFloat16, at::native::func_wrapper_t<c10::BFloat16, at::native::MaxNanFunctor<c10::BFloat16> >, unsigned int, c10::BFloat16, 4, 4> >(at::native::ReduceOp<c10::BFloat16, at::native::func_wrapper_t<c10::BFloat16, at::native::MaxNanFunctor<c10::BFloat16> >, unsigned int, c10::BFloat16, 4, 4>)"
5,495616,"s_load_dword s4, s[0:1], 0x14",8,2960,2928,4600,""
5,495624,"s_load_dwordx4 s[24:27], s[0:1], 0x1c",8,36,4,0,""
5,495632,"s_load_dword s5, s[0:1], 0x2c",8,44,12,0,""
5,495640,"s_load_dword s33, s[0:1], 0x148",8,1508,1476,0,""
5,495648,"v_and_b32_e32 v9, 0x3ff, v0",8,32,0,0,""
5,495656,"v_bfe_u32 v8, v0, 10, 10",8,32,0,0,""
5,495664,"s_waitcnt lgkmcnt(0)",8,5812,5812,0,""
5,495668,"s_mul_i32 s4, s4, s2",8,32,0,0,""
5,495672,"v_mul_lo_u32 v1, s27, v9",8,32,0,0,""
5,495680,"s_add_i32 s27, s33, -1",8,32,0,0,""
5,495684,"v_mul_lo_u32 v0, s24, v9",8,32,0,0,""
5,495692,"v_mul_lo_u32 v2, s25, v8",8,44,12,0,""
5,495700,"v_mul_lo_u32 v3, s5, v8",8,32,0,0,""
5,495708,"s_mul_i32 s5, s26, s3",8,36,4,0,""
5,495712,"s_cmp_gt_u32 s27, 1",8,48,16,0,""
5,495716,"v_add3_u32 v10, v3, v1, s4",8,40,8,0,""
5,495724,"s_cselect_b64 s[44:45], -1, 0",8,36,4,0,""
5,495728,"s_cmp_lt_u32 s27, 2",8,44,12,0,""
5,495732,"v_add3_u32 v0, v2, v0, s5",8,44,12,0,""
5,495740,"s_cbranch_scc1 81",8,32,0,0,""
5,495744,"s_mov_b32 s20, 0",8,36,4,128,""
5,495748,"s_cmp_lg_u32 s33, 0",8,32,0,0,""
5,495752,"v_mov_b32_e32 v2, 0",8,32,0,0,""
5,495756,"s_cbranch_scc0 115",8,32,0,0,""
5,495760,"s_min_u32 s21, s27, 15",0,0,0,0,""
5,495764,"s_add_i32 s21, s21, 1",0,0,0,0,""
5,495768,"s_cmp_eq_u32 s27, 2",0,0,0,0,""
5,495772,"v_mov_b32_e32 v2, 0",0,0,0,0,""
5,495776,"s_cbranch_scc1 73",0,0,0,0,""
5,495780,"s_and_b32 s20, s21, 28",0,0,0,0,""
5,495784,"s_add_u32 s16, s0, 0x210",0,0,0,0,""
5,495792,"s_addc_u32 s17, s1, 0",0,0,0,0,""
5,495796,"s_mov_b32 s22, 0",0,0,0,0,""
5,495800,"v_mov_b32_e32 v2, 0",0,0,0,0,""
5,495804,"s_mov_b64 s[18:19], s[0:1]",0,0,0,0,""
5,495808,"v_mov_b32_e32 v1, v10",0,0,0,0,""
5,495812,"s_load_dwordx8 s[4:11], s[18:19], 0x14c",0,0,0,0,""
5,495820,"s_load_dwordx4 s[12:15], s[18:19], 0x16c",0,0,0,0,""
5,495828,"s_load_dword s23, s[16:17], 0x0",0,0,0,0,""
5,495836,"s_load_dword s28, s[16:17], 0x8",0,0,0,0,""
5,495844,"s_load_dword s29, s[16:17], 0x10",0,0,0,0,""
5,495852,"s_load_dword s30, s[16:17], 0x18",0,0,0,0,""
5,495860,"s_waitcnt lgkmcnt(0)",0,0,0,0,""
5,495864,"v_mul_hi_u32 v3, s5, v1",0,0,0,0,""
5,495872,"v_add_u32_e32 v3, v1, v3",0,0,0,0,""
5,495876,"v_lshrrev_b32_e32 v3, s6, v3",0,0,0,0,""
5,495880,"v_mul_lo_u32 v4, v3, s4",0,0,0,0,""
5,495888,"v_mul_hi_u32 v5, s8, v3",0,0,0,0,""
5,495896,"v_sub_u32_e32 v1, v1, v4",0,0,0,0,""
5,495900,"v_add_u32_e32 v4, v3, v5",0,0,0,0,""
5,495904,"v_lshrrev_b32_e32 v4, s9, v4",0,0,0,0,""
5,495908,"v_mul_lo_u32 v5, v4, s7",0,0,0,0,""
5,495916,"v_mul_hi_u32 v6, s11, v4",0,0,0,0,""
5,495924,"v_sub_u32_e32 v3, v3, v5",0,0,0,0,""
5,495928,"v_add_u32_e32 v5, v4, v6",0,0,0,0,""
5,495932,"v_mul_lo_u32 v1, v1, s23",0,0,0,0,""
5,495940,"v_mul_lo_u32 v3, v3, s28",0,0,0,0,""
5,495948,"v_lshrrev_b32_e32 v5, s12, v5",0,0,0,0,""
5,495952,"v_add3_u32 v2, v1, v2, v3",0,0,0,0,""
5,495960,"v_mul_lo_u32 v1, v5, s10",0,0,0,0,""
5,495968,"v_mul_hi_u32 v3, s14, v5",0,0,0,0,""
5,495976,"s_add_i32 s22, s22, 4",0,0,0,0,""
5,495980,"v_sub_u32_e32 v1, v4, v1",0,0,0,0,""
5,495984,"v_add_u32_e32 v3, v5, v3",0,0,0,0,""
5,495988,"s_add_u32 s16, s16, 32",0,0,0,0,""
5,495992,"v_mul_lo_u32 v4, v1, s29",0,0,0,0,""
5,496000,"v_lshrrev_b32_e32 v1, s15, v3",0,0,0,0,""
5,496004,"s_addc_u32 s17, s17, 0",0,0,0,0,""
5,496008,"v_mul_lo_u32 v3, v1, s13",0,0,0,0,""
5,496016,"s_add_u32 s18, s18, 48",0,0,0,0,""
5,496020,"v_sub_u32_e32 v3, v5, v3",0,0,0,0,""
5,496024,"s_addc_u32 s19, s19, 0",0,0,0,0,""
5,496028,"v_mul_lo_u32 v3, v3, s30",0,0,0,0,""
5,496036,"s_cmp_lg_u32 s20, s22",0,0,0,0,""
5,496040,"v_add3_u32 v2, v4, v2, v3",0,0,0,0,""
5,496048,"s_cbranch_scc1 65476",0,0,0,0,""
5,496052,"s_and_b32 s8, s21, 3",0,0,0,0,""
5,496056,"s_cmp_eq_u32 s8, 0",0,0,0,0,""
5,496060,"s_cbranch_scc0 6",0,0,0,0,""
5,496064,"s_branch 38",0,0,0,0,""
5,496068,"s_branch 38",0,0,0,0,""
5,496072,"v_mov_b32_e32 v1, v10",0,0,0,0,""
5,496076,"s_and_b32 s8, s21, 3",0,0,0,0,""
5,496080,"s_cmp_eq_u32 s8, 0",0,0,0,0,""
5,496084,"s_cbranch_scc1 33",0,0,0,0,""
5,496088,"s_lshl_b32 s4, s20, 3",0,0,0,0,""
5,496092,"s_add_u32 s4, s4, s0",0,0,0,0,""
5,496096,"s_addc_u32 s5, 0, s1",0,0,0,0,""
5,496100,"s_add_u32 s4, s4, 0x210",0,0,0,0,""
5,496108,"s_addc_u32 s5, s5, 0",0,0,0,0,""
5,496112,"s_mul_i32 s6, s20, 12",0,0,0,0,""
5,496116,"s_add_u32 s6, s0, s6",0,0,0,0,""
5,496120,"s_addc_u32 s7, 0, s1",0,0,0,0,""
5,496124,"s_load_dwordx2 s[10:11], s[6:7], 0x14c",0,0,0,0,""
5,496132,"s_load_dword s9, s[6:7], 0x154",0,0,0,0,""
5,496140,"s_load_dword s12, s[4:5], 0x0",0,0,0,0,""
5,496148,"s_add_u32 s4, s4, 8",0,0,0,0,""
5,496152,"s_addc_u32 s5, s5, 0",0,0,0,0,""
5,496156,"s_waitcnt lgkmcnt(0)",0,0,0,0,""
5,496160,"v_mul_hi_u32 v3, s11, v1",0,0,0,0,""
5,496168,"v_add_u32_e32 v3, v1, v3",0,0,0,0,""
5,496172,"v_lshrrev_b32_e32 v3, s9, v3",0,0,0,0,""
5,496176,"s_add_u32 s6, s6, 12",0,0,0,0,""
5,496180,"v_mul_lo_u32 v4, v3, s10",0,0,0,0,""
5,496188,"s_addc_u32 s7, s7, 0",0,0,0,0,""
5,496192,"s_add_i32 s8, s8, -1",0,0,0,0,""
5,496196,"v_sub_u32_e32 v4, v1, v4",0,0,0,0,""
5,496200,"s_cmp_lg_u32 s8, 0",0,0,0,0,""
5,496204,"v_mov_b32_e32 v1, v3",0,0,0,0,""
5,496208,"v_mad_u64_u32 v[2:3], s[10:11], v4, s12, v[2:3]",0,0,0,0,""
5,496216,"s_cbranch_scc1 65512",0,0,0,0,""
5,496220,"s_cbranch_execnz 32",8,40,8,128,""
5,496224,"s_load_dwordx4 s[4:7], s[0:1], 0x14c",0,0,0,0,""
5,496232,"s_waitcnt lgkmcnt(0)",0,0,0,0,""
5,496236,"s_load_dword s7, s[0:1], 0x210",0,0,0,0,""
5,496244,"s_cmp_lt_u32 s33, 2",0,0,0,0,""
5,496248,"v_mul_hi_u32 v1, s5, v10",0,0,0,0,""
5,496256,"v_add_u32_e32 v1, v10, v1",0,0,0,0,""
5,496260,"v_lshrrev_b32_e32 v1, s6, v1",0,0,0,0,""
5,496264,"v_mul_lo_u32 v2, v1, s4",0,0,0,0,""
5,496272,"v_sub_u32_e32 v2, v10, v2",0,0,0,0,""
5,496276,"s_waitcnt lgkmcnt(0)",0,0,0,0,""
5,496280,"v_mul_lo_u32 v2, v2, s7",0,0,0,0,""
5,496288,"s_cbranch_scc1 15",0,0,0,0,""
5,496292,"s_load_dwordx4 s[4:7], s[0:1], 0x158",0,0,0,0,""
5,496300,"s_waitcnt lgkmcnt(0)",0,0,0,0,""
5,496304,"s_load_dword s7, s[0:1], 0x218",0,0,0,0,""
5,496312,"v_mul_hi_u32 v3, s5, v1",0,0,0,0,""
5,496320,"v_add_u32_e32 v3, v1, v3",0,0,0,0,""
5,496324,"v_lshrrev_b32_e32 v3, s6, v3",0,0,0,0,""
5,496328,"v_mul_lo_u32 v3, v3, s4",0,0,0,0,""
5,496336,"v_sub_u32_e32 v1, v1, v3",0,0,0,0,""
5,496340,"s_waitcnt lgkmcnt(0)",0,0,0,0,""
5,496344,"v_mad_u64_u32 v[2:3], s[4:5], v1, s7, v[2:3]",0,0,0,0,""
5,496352,"s_load_dwordx2 s[34:35], s[0:1], 0x8",8,32,0,128,""
5,496360,"s_waitcnt lgkmcnt(0)",8,288,288,0,""
5,496364,"v_cmp_gt_u32_e32 vcc, s34, v0",8,32,0,0,""
5,496368,"v_cmp_gt_u32_e64 s[4:5], s35, v10",8,32,0,0,""
5,496376,"s_and_b64 s[4:5], s[4:5], vcc",8,40,8,128,""
5,496380,"s_and_saveexec_b64 s[46:47], s[4:5]",8,32,0,0,""
5,496384,"s_cbranch_execz 1986",8,32,0,32,""
5,496388,"s_load_dword s6, s[0:1], 0x3c",8,48,16,0,""
5,496396,"s_load_dwordx2 s[4:5], s[0:1], 0x290",8,32,0,0,""
5,496404,"v_mov_b32_e32 v3, 0",8,32,0,0,""
5,496408,"s_waitcnt lgkmcnt(0)",8,2236,2236,0,""
5,496412,"s_bitcmp0_b32 s6, 0",8,32,0,0,""
5,496416,"v_lshl_add_u64 v[2:3], s[4:5], 0, v[2:3]",8,32,0,0,""
5,496424,"s_cbranch_scc0 45",8,32,0,0,""
5,496428,"s_load_dword s64, s[0:1], 0x108",0,0,0,0,""
5,496436,"s_load_dword s60, s[0:1], 0x10",0,0,0,0,""
5,496444,"s_load_dword s65, s[0:1], 0x44",0,0,0,0,""
5,496452,"s_load_dword s10, s[0:1], 0x0",0,0,0,0,""
5,496460,"s_add_u32 s48, s0, 0x108",0,0,0,0,""
5,496468,"s_addc_u32 s49, s1, 0",0,0,0,0,""
5,496472,"s_waitcnt lgkmcnt(0)",0,0,0,0,""
5,496476,"s_lshr_b32 s63, s64, 1",0,0,0,0,""
5,496480,"s_cmp_eq_u32 s65, 1",0,0,0,0,""
5,496484,"s_cselect_b64 s[4:5], -1, 0",0,0,0,0,""
5,496488,"s_cmp_lg_u32 s65, 1",0,0,0,0,""
5,496492,"s_cselect_b64 s[6:7], -1, 0",0,0,0,0,""
5,496496,"s_cmp_eq_u32 s63, 1",0,0,0,0,""
5,496500,"s_cselect_b64 s[8:9], -1, 0",0,0,0,0,""
5,496504,"s_mul_i32 s61, s60, 3",0,0,0,0,""
5,496508,"s_and_b64 s[4:5], s[4:5], s[8:9]",0,0,0,0,""
5,496512,"v_add_u32_e32 v1, s61, v0",0,0,0,0,""
5,496516,"s_lshr_b32 s62, s10, 16",0,0,0,0,""
5,496520,"s_andn2_b64 vcc, exec, s[4:5]",0,0,0,0,""
5,496524,"v_cmp_gt_u32_e64 s[4:5], s34, v1",0,0,0,0,""
5,496532,"s_cbranch_vccz 19",0,0,0,0,""
5,496536,"s_and_b64 vcc, exec, s[6:7]",0,0,0,0,""
5,496540,"s_cbranch_vccz 18",0,0,0,0,""
5,496544,"v_mov_b32_e32 v12, s62",0,0,0,0,""
5,496548,"v_mov_b32_e32 v17, v0",0,0,0,0,""
5,496552,"v_mov_b32_e32 v14, s62",0,0,0,0,""
5,496556,"v_mov_b32_e32 v13, s62",0,0,0,0,""
5,496560,"v_mov_b32_e32 v11, s62",0,0,0,0,""
5,496564,"s_and_saveexec_b64 s[50:51], s[4:5]",0,0,0,0,""
5,496568,"s_cbranch_execnz 13",0,0,0,0,""
5,496572,"s_or_b64 exec, exec, s[50:51]",0,0,0,0,""
5,496576,"v_cmp_gt_u32_e64 s[6:7], s34, v17",0,0,0,0,""
5,496584,"s_and_saveexec_b64 s[36:37], s[6:7]",0,0,0,0,""
5,496588,"s_cbranch_execnz 630",0,0,0,0,""
5,496592,"s_or_b64 exec, exec, s[36:37]",0,0,0,0,""
5,496596,"s_and_saveexec_b64 s[14:15], s[6:7]",0,0,0,0,""
5,496600,"s_cbranch_execnz 1257",0,0,0,0,""
5,496604,"s_branch 1308",0,0,0,0,""
5,496608,"s_branch 1749",8,32,0,128,""
5,496612,"s_branch 1547",0,0,0,0,""
5,496616,"s_cbranch_execnz 1329",0,0,0,0,""
5,496620,"s_branch 1544",0,0,0,0,""
5,496624,"s_add_i32 s8, s65, -1",0,0,0,0,""
5,496628,"s_cmp_gt_u32 s8, 1",0,0,0,0,""
5,496632,"s_cselect_b64 s[52:53], -1, 0",0,0,0,0,""
5,496636,"s_cmp_lg_u32 s65, 0",0,0,0,0,""
5,496640,"s_cselect_b64 s[6:7], -1, 0",0,0,0,0,""
5,496644,"s_min_u32 s9, s8, 15",0,0,0,0,""
5,496648,"s_add_i32 s10, s9, 1",0,0,0,0,""
5,496652,"s_and_b32 s67, s10, 3",0,0,0,0,""
5,496656,"s_cmp_lg_u32 s8, 2",0,0,0,0,""
5,496660,"s_load_dwordx4 s[28:31], s[0:1], 0x48",0,0,0,0,""
5,496668,"s_load_dwordx2 s[54:55], s[0:1], 0x58",0,0,0,0,""
5,496676,"s_load_dword s66, s[0:1], 0x10c",0,0,0,0,""
5,496684,"s_cselect_b64 s[8:9], -1, 0",0,0,0,0,""
5,496688,"s_and_b32 s68, s10, 28",0,0,0,0,""
5,496692,"s_cmp_lg_u32 s67, 0",0,0,0,0,""
5,496696,"v_cndmask_b32_e64 v4, 0, 1, s[6:7]",0,0,0,0,""
5,496704,"v_cmp_ne_u32_e64 s[6:7], 1, v4",0,0,0,0,""
5,496712,"v_cndmask_b32_e64 v4, 0, 1, s[8:9]",0,0,0,0,""
5,496720,"s_cselect_b64 s[10:11], -1, 0",0,0,0,0,""
5,496724,"v_cmp_ne_u32_e64 s[8:9], 1, v4",0,0,0,0,""
5,496732,"v_cndmask_b32_e64 v4, 0, 1, s[10:11]",0,0,0,0,""
5,496740,"s_mov_b64 s[56:57], 0",0,0,0,0,""
5,496744,"v_mov_b32_e32 v11, s62",0,0,0,0,""
5,496748,"v_mov_b32_e32 v5, 0",0,0,0,0,""
5,496752,"v_cndmask_b32_e64 v19, 0, 1, s[52:53]",0,0,0,0,""
5,496760,"v_cmp_ne_u32_e64 s[10:11], 1, v4",0,0,0,0,""
