"CodeObj","Vaddr","Instruction","Hitcount","Latency","Stall","Idle","Source"
4,804608,"; _ZN2at6native29vectorized_elementwise_kernelILi8ENS0_10AbsFunctorIN3c108BFloat16EEESt5arrayIPcLm2EEEEviT0_T1_",0,0,0,0,"void at::native::vectorized_elementwise_kernel<8, at::native::AbsFunctor<c10::BFloat16>, std::array<char*, 2ul> >(int, at::native::AbsFunctor<c10::BFloat16>, std::array<char*, 2ul>)"
4,804608,"s_load_dword s3, s[0:1], 0x0",48,28924,28732,18476,""
4,804616,"s_load_dwordx4 s[4:7], s[0:1], 0x8",48,2040,1848,0,""
4,804624,"s_lshl_b32 s2, s2, 12",48,408,216,0,""
4,804628,"s_mov_b64 s[0:1], -1",48,484,284,0,""
4,804632,"s_waitcnt lgkmcnt(0)",48,28096,28096,0,""
4,804636,"s_sub_i32 s10, s3, s2",48,664,472,0,""
4,804640,"s_cmpk_gt_i32 s10, 0xfff",48,280,76,0,""
4,804644,"s_cbranch_scc0 220",48,192,0,180,""
4,804648,"s_ashr_i32 s3, s2, 31",48,316,124,0,""
4,804652,"s_lshl_b64 s[0:1], s[2:3], 1",48,196,4,0,""
4,804656,"s_add_u32 s8, s6, s0",48,224,32,0,""
4,804660,"s_addc_u32 s9, s7, s1",48,228,36,0,""
4,804664,"v_lshlrev_b32_e32 v10, 4, v0",48,1308,1116,0,""
4,804668,"global_load_dwordx4 v[2:5], v10, s[8:9] nt",48,37732,37540,384,""
4,804676,"v_mov_b32_e32 v11, 0",48,212,0,0,""
4,804680,"v_lshl_add_u64 v[6:7], s[8:9], 0, v[10:11]",48,1568,1376,0,""
4,804688,"v_add_co_u32_e32 v6, vcc, 0x1000, v6",48,200,4,0,""
4,804696,"s_add_u32 s0, s4, s0",48,228,8,764,""
4,804700,"s_nop 0",48,192,192,0,""
4,804704,"v_addc_co_u32_e32 v7, vcc, 0, v7, vcc",48,200,0,0,""
4,804708,"global_load_dwordx4 v[6:9], v[6:7], off nt",48,20140,19944,376,""
4,804716,"s_addc_u32 s1, s5, s1",48,196,0,12,""
4,804720,"v_lshl_add_u64 v[12:13], s[0:1], 0, v[10:11]",48,680,488,0,""
4,804728,"s_movk_i32 s3, 0x7fff",48,192,0,0,""
4,804732,"v_mov_b32_e32 v1, 0x7fc0",48,192,0,0,""
4,804740,"s_mov_b32 s8, 0x5040100",48,192,0,0,""
4,804748,"s_waitcnt vmcnt(1)",48,132516,132516,0,""
4,804752,"v_and_b32_e32 v11, 0xffff0000, v2",48,192,0,0,""
4,804760,"v_lshlrev_b32_e32 v2, 16, v2",48,1976,1784,0,""
4,804764,"v_and_b32_e32 v20, 0x7fffffff, v11",48,192,0,0,""
4,804772,"v_and_b32_e32 v14, 0xffff0000, v3",48,192,0,0,""
4,804780,"v_and_b32_e32 v19, 0x7fffffff, v2",48,196,0,0,""
4,804788,"v_bfe_u32 v25, v20, 16, 1",48,1368,1176,0,""
4,804796,"v_lshlrev_b32_e32 v3, 16, v3",48,208,16,0,""
4,804800,"v_and_b32_e32 v18, 0x7fffffff, v14",48,192,0,0,""
4,804808,"v_bfe_u32 v26, v19, 16, 1",48,424,232,0,""
4,804816,"v_add3_u32 v20, v20, v25, s3",48,196,4,0,""
4,804824,"v_and_b32_e32 v15, 0xffff0000, v4",48,192,0,0,""
