Domain,Function,Start_Timestamp,End_Timestamp,Correlation_ID

HIP_API_DOMAIN,"hipGetDeviceCount",4385716798273057,4385716798274197,1
HIP_API_DOMAIN,"hipGetDeviceCount",4385717190908173,4385717190910083,2
HIP_API_DOMAIN,"hipGetDevicePropertiesR0600",4385717190918193,4385717190920053,3
HIP_API_DOMAIN,"hipGetDeviceCount",4385717190928873,4385717190928983,4
HIP_API_DOMAIN,"hipGetDeviceCount",4385717190945173,4385717190945283,5
HIP_API_DOMAIN,"hipGetDevicePropertiesR0600",4385717190946823,4385717190946973,6
HIP_API_DOMAIN,"hipGetDevice",4385717190963343,4385717190963743,7
HIP_API_DOMAIN,"hipDevicePrimaryCtxGetState",4385717191281641,4385717191283621,8
HIP_API_DOMAIN,"hipGetDevice",4385717191287651,4385717191287781,9
HIP_API_DOMAIN,"hipDevicePrimaryCtxGetState",4385717191288191,4385717191288321,10
HIP_API_DOMAIN,"hipGetDevice",4385717191294421,4385717191294541,11
HIP_API_DOMAIN,"hipDevicePrimaryCtxGetState",4385717191294641,4385717191294771,12
HIP_API_DOMAIN,"hipGetDevice",4385717191443910,4385717191444070,13
HIP_API_DOMAIN,"hipGetDevice",4385717191448630,4385717191448740,14
HIP_API_DOMAIN,"hipGetDevice",4385717191455440,4385717191455550,15
HIP_API_DOMAIN,"hipDeviceGetStreamPriorityRange",4385717191466310,4385717191466710,16
HIP_API_DOMAIN,"hipGetLastError",4385717191479680,4385717191479830,17
HIP_API_DOMAIN,"hipGetDevice",4385717191480880,4385717191480990,18
HIP_API_DOMAIN,"hipStreamIsCapturing",4385717191485940,4385717191489260,19
HIP_API_DOMAIN,"hipMalloc",4385717191493890,4385717191628529,20
HIP_API_DOMAIN,"hipSetDevice",4385717191646179,4385717191646829,21
HIP_API_DOMAIN,"hipSetDevice",4385717191647629,4385717191647739,22
HIP_API_DOMAIN,"hipGetDevice",4385717191769798,4385717191769938,23
HIP_API_DOMAIN,"hipGetDevice",4385717191795018,4385717191795128,24
HIP_API_DOMAIN,"hipGetDevice",4385717191796878,4385717191796988,25
HIP_API_DOMAIN,"hipGetDevice",4385717191798838,4385717191798948,26
HIP_API_DOMAIN,"hipSetDevice",4385717191800558,4385717191800678,27
HIP_API_DOMAIN,"hipSetDevice",4385717191800838,4385717191800948,28
HIP_API_DOMAIN,"hipGetDevice",4385717191845918,4385717191846028,29
HIP_API_DOMAIN,"hipGetDevice",4385717191846458,4385717191846568,30
HIP_API_DOMAIN,"hipGetDevice",4385717191846808,4385717191846918,31
HIP_API_DOMAIN,"hipGetLastError",4385717191848518,4385717191848678,32
HIP_API_DOMAIN,"hipGetDevice",4385717191848798,4385717191848908,33
HIP_API_DOMAIN,"hipStreamIsCapturing",4385717191849268,4385717191849468,34
HIP_API_DOMAIN,"hipMalloc",4385717191849768,4385717191875948,35
HIP_API_DOMAIN,"hipSetDevice",4385717191877568,4385717191877688,36
HIP_API_DOMAIN,"hipSetDevice",4385717191878078,4385717191878188,37
HIP_API_DOMAIN,"hipGetDevice",4385717191888407,4385717191888517,38
HIP_API_DOMAIN,"hipGetDevice",4385717191889257,4385717191889367,39
HIP_API_DOMAIN,"hipGetDevice",4385717191889767,4385717191889877,40
HIP_API_DOMAIN,"hipGetDevice",4385717191890087,4385717191890197,41
HIP_API_DOMAIN,"hipSetDevice",4385717191890627,4385717191890737,42
HIP_API_DOMAIN,"hipSetDevice",4385717191890817,4385717191890927,43
HIP_API_DOMAIN,"hipGetDevice",4385717191898097,4385717191898207,44
HIP_API_DOMAIN,"hipGetDevice",4385717191898297,4385717191898407,45
HIP_API_DOMAIN,"hipGetDevice",4385717191898527,4385717191898637,46
HIP_API_DOMAIN,"hipGetLastError",4385717191899117,4385717191899227,47
HIP_API_DOMAIN,"hipGetDevice",4385717191899327,4385717191899437,48
HIP_API_DOMAIN,"hipStreamIsCapturing",4385717191899557,4385717191899687,49
HIP_API_DOMAIN,"hipMalloc",4385717191899777,4385717191916687,50
HIP_API_DOMAIN,"hipSetDevice",4385717191917947,4385717191918067,51
HIP_API_DOMAIN,"hipSetDevice",4385717191918167,4385717191918277,52
HIP_API_DOMAIN,"hipGetDevice",4385717191923637,4385717191923747,53
HIP_API_DOMAIN,"hipGetDevice",4385717191924037,4385717191924147,54
HIP_API_DOMAIN,"hipGetDevice",4385717191924247,4385717191924357,55
HIP_API_DOMAIN,"hipGetDevice",4385717191924457,4385717191924577,56
HIP_API_DOMAIN,"hipSetDevice",4385717191924807,4385717191924917,57
HIP_API_DOMAIN,"hipSetDevice",4385717191924997,4385717191925107,58
HIP_API_DOMAIN,"hipGetDevice",4385717191928557,4385717191928667,59
HIP_API_DOMAIN,"hipGetDevice",4385717191928757,4385717191928867,60
HIP_API_DOMAIN,"hipGetDevice",4385717191928967,4385717191929077,61
HIP_API_DOMAIN,"hipGetLastError",4385717191929477,4385717191929587,62
HIP_API_DOMAIN,"hipGetDevice",4385717191929677,4385717191929787,63
HIP_API_DOMAIN,"hipStreamIsCapturing",4385717191929897,4385717191930017,64
HIP_API_DOMAIN,"hipMalloc",4385717191930097,4385717191944877,65
HIP_API_DOMAIN,"hipSetDevice",4385717191945987,4385717191946097,66
HIP_API_DOMAIN,"hipSetDevice",4385717191946197,4385717191946317,67
HIP_API_DOMAIN,"hipGetDevice",4385717191951077,4385717191951187,68
